Year,Country,Region,SubRegion,SurfAreaSqKm,PopTotal,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MobileSubs/100,MortRateU5,NetMigr,UrbanPopGrowth%,LifeGroup,Period,Strata
2016.0,Angola,Africa,Sub-Saharan Africa,1246700.0,29154746.0,23.385534611374,3.58621100683242,49840491178.1518,-2.5801112218828,146.135,9.83116886032956,28.1244854472006,5.686,-179517618.92,2450.0,71496674828.7518,25.2456726203982,42.6435678702129,21.7743125582849,61.092,81.5180569845794,44.59350803,84.4,91623.0,4.68814539911162,Low,2015+,Africa_Low_
2012.0,Tajikistan,Asia,Central Asia,142550.0,7956382.0,56.8475421549014,2.17988187402675,7633036366.03492,7.49999946321525,52.254,23.3268165616333,17.2772798792139,3.421,241736370.0,1140.0,9089182946.32787,65.8986646609389,22.0426346192666,11.8685155888293,68.484,67.3126624008081,82.04734262,40.4,-27831.0,2.27034671600903,Medium,2008-2014,Asia_Medium_
2010.0,Jordan,Asia,Western Asia,89320.0,6931258.0,78.0722910565443,2.19915131357546,27133804225.3521,2.31483422063046,36.014,3.57519109394284,46.9971426422454,3.778,1688394366.19718,3690.0,25592561588.5797,67.2255350518798,26.2668286391472,8.07745609713074,74.0,83.2614542817828,95.50935775,20.1,4872.0,3.55576549646754,Medium,2008-2014,Asia_Medium_
2001.0,Syrian Arab Republic,Asia,Western Asia,185180.0,16727948.0,91.0215910327566,2.54462854098906,86771314031.1804,1.04728710191981,56.084,25.2979441647297,36.886555346568,4.007,110000000.0,4390.0,73437805535.7574,30.4815771533704,30.1239825545581,6.55411843600844,71.644,11.5245459996222,1.195603908,22.1,-18374.0,3.24863741711485,Medium,2000-2007,Asia_Medium_
2005.0,Marshall Islands,Oceania,Micronesia,180.0,54337.0,301.872222222222,-0.180193480890142,137666300.0,1.77300715673037,93.643,7.13813039211485,32.8158743279946,4.129,3279622.36154915,3470.0,188585615.209822,92.1874126056994,8.14222507614427,1.75529085464223,63.585,86.4409081961235,1.214664311,41.1,-1637.0,0.526555914747926,Low,2000-2007,Oceania_Low_
2002.0,Dominican Republic,Americas,Latin America and the Caribbean,48670.0,8795101.0,182.055495756572,1.4436803902991,27137441266.3355,4.49510340292099,110.884,6.80511921829037,30.724010155589,2.774,926000000.0,2870.0,25201779228.9877,37.9992727472887,31.088108747831,6.92066884933828,69.923,51.6002959253604,19.33586664,38.2,-30477.0,2.7237026688676,Medium,2000-2007,Americas_Medium_
2011.0,"Micronesia, Fed. Sts.",Oceania,Micronesia,700.0,107887.0,154.124285714286,0.277526573301423,311301600.0,3.18857475473928,40.542,26.3657173621979,24.7142642376396,3.18,0.0,2950.0,317802578.027332,82.1903581607033,8.16256646287716,1.59563243436212,71.318,83.8415221765645,25.58232224,33.7,-1719.0,0.307987091582606,Medium,2008-2014,Oceania_Medium_
2020.0,Solomon Islands,Oceania,Melanesia,28900.0,691191.0,24.6942122186495,2.3713876123354,1536145831.0639,-3.38111604772683,60.728,34.1198383133867,27.9400290153235,4.038,8980046.94191946,2340.0,1619272168.82913,36.2441911034129,17.2449869224063,-1.32594948367304,70.199,55.8540720971633,68.57738104,19.4,-808.0,4.25359016492773,Medium,2015+,Oceania_Medium_
2008.0,"Gambia, The",Africa,Sub-Saharan Africa,11300.0,1820542.0,179.895454545455,3.10498597160244,1561766955.73024,6.25590553394287,100.276,29.7757115194915,14.4752001750388,5.708,70792382.3207138,750.0,1368407496.38136,24.6138992810955,11.16205074884,2.47584586803727,60.082,21.5140933010006,64.05433107,80.6,-2203.0,4.46073068507279,Low,2008-2014,Africa_Low_
2007.0,Haiti,Americas,Latin America and the Caribbean,27750.0,9420826.0,341.829680696662,1.65399026348443,9228637766.24316,4.70652994008303,65.525,19.0751062845426,8.44368932357576,3.643,74500000.0,900.0,8461719656.95789,25.8388596566908,25.2963112957419,4.11225629346441,61.103,23.8821812690695,26.53695122,85.2,-27017.0,3.85418015642172,Low,2000-2007,Americas_Low_
2001.0,United Kingdom,Europe,Northern Europe,243610.0,59119673.0,244.366854048692,0.384975969564228,1648765214387.0,2.15742817784832,27.635,0.762055769420504,25.5220579696732,1.63,56090924808.7938,29010.0,1715118975297.59,27.2847921503366,21.5896301741954,1.81559623872916,77.9926829268293,37.3393976672956,78.32360974,6.4,186701.0,0.512040255282785,High,2000-2007,Europe_High_
2006.0,Ukraine,Europe,Eastern Europe,603550.0,46787786.0,80.7577085059376,-0.676059672626708,111884752475.248,7.57142076322967,30.502,7.23906141043294,43.2186231235111,1.31,5604000000.0,1950.0,91326668398.0764,45.9624295155199,30.5434517130428,14.85249547084,68.0775609756098,74.5472445125642,105.2767922,13.9,12013.0,-0.412356448619737,Medium,2000-2007,Europe_Medium_
2017.0,Liberia,Africa,Sub-Saharan Africa,111370.0,4796631.0,49.7989098837209,1.90548944068251,3390703400.0,2.45515592012239,133.981,35.9426159185731,61.80249312823554,4.396,247842983.01405,630.0,3021886622.05459,89.80334695375475,15.4416514284322,-2.61793415299387,60.553,42.6755109279095,55.45558956,84.5,-24830.0,2.78314727046078,Low,2015+,Africa_Low_
2008.0,Netherlands,Europe,Western Europe,41540.0,16445593.0,487.132494075829,0.389292461499527,951869997864.062,2.17032485133603,5.158,1.63504831597131,69.7936334784718,1.77,195530109750.281,51670.0,849824326998.281,61.2662585483886,21.5099552223585,2.30632549844012,80.2512195121951,128.0484732931,125.3100554,4.7,23206.0,1.40494528793482,High,2008-2014,Europe_High_
2021.0,Malaysia,Asia,South-eastern Asia,330411.0,33573874.0,102.188020088267,1.11985399101,372981073017.749,3.09216261593808,9.271,9.58817940837716,68.8389246323815,1.803,20245157326.8024,10710.0,359709359438.813,61.7309258742006,37.7586857453178,5.71361783200688,74.884,144.15342731732,140.5905675,7.6,46165.0,1.81211067246512,Medium,2015+,Asia_Medium_
2005.0,Nauru,Oceania,Micronesia,20.0,10318.0,515.9,-0.164625031127357,63187180.392682336,-7.84313725490196,78.518,22.12580962464428,63.94020683102223,3.501,1180947.4073236955,6725.728176441544,69948985.11815885,60.81506289107684,10.351493301872084,0.940128649183578,58.161,63.03254536398563,32.246638308852404,38.4,-234.0,-0.164625031127346,Low,2000-2007,Oceania_Low_
2011.0,Marshall Islands,Oceania,Micronesia,180.0,52971.0,294.283333333333,-0.836573256679686,171567100.0,-0.307239550027475,76.258,13.9558808186418,51.4918652818635,3.51,-4380881.13767906,3780.0,199973315.902453,102.426630746804,13.5950307489023,7.34621800005372,63.256,104.915219759499,37.12517136464465,38.7,-1901.0,-0.19868568357889,Low,2008-2014,Oceania_Low_
